speaker	utt	act	act	slots	poi
driver	Thanks for all your help.	thank_you	thank_you		
assistant	Unfortunately there is a car collision nearby but I already sent you another route that, even if longer, will allow you to reach fast enough	inform #traffic car collison; inform #goal #traffic fast enough	inform #traffic car collison; inform #goal #traffic fast enough	{"distance": "avoids all heavy traffic ", "poi": "dish parking"}	
assistant	There is moderate traffic but it's just 4 miles away, it shouldn't take too long to reach	inform #traffic moderate #distance 4 miles	inform #traffic moderate #distance 4 miles	{"traffic_info": "no traffic", "poi": "Pizza My Heart"}	
driver	Please send me its address on the screen and pick a quick route to reach there, thank you!	request #location screen #distance quick #goal	request #location screen #distance quick #goal		
assistant	The quickest route to a gas station is through moderate traffic. Would you like more info?	inform #distance quickest #poi gas station ; request need	inform #distance quickest #event gas station ; request need	{"poi_type": "gas station"}	
assistant	There is a Starbucks 1 miles away: would you like me to set the GPS to go there?	inform #poi Starbucks #distance 1 miile ; request #goal	inform #event Starbucks #distance 1 miile ; request #goal	{"distance": "nearest", "poi_type": "coffee place"}	
driver	Then let's go there, thank you car!	thank_you	thank_you		
assistant	Setting navigation to the Topanga Mall at 171 Oak Road now.	request #goal #poi Topanga Mall #location 171 Oak Road #time now	request #goal #event Topanga Mall #location 171 Oak Road #time now	{"distance": "nearest", "traffic_info": "as little traffic as possible", "poi_type": "shopping center"}	
assistant	Navigating to Cafe Venetia.	request #goal #poi Cafe Venetia	request #goal #event Cafe Venetia	{"poi_type": "coffee place"}	
driver	Thanks!	thank_you	thank_you		
driver	It sounds good, let's go there, please pick the fastest route for me, thank you!	agree ; request #goal ; thank_you	agree ; request #goal ; thank_you		
assistant	I do not see any fast food near you.	inform #poi no fast food	inform #event no fast food	{"distance": "closest ", "poi_type": "fast food restaurant"}	
driver	Yes please, thanks.	thank_you	thank_you		
driver	Find me a gas station that I can get to the quickest without any traffic	request #poi gas station #distance quickest #traffic without any traffic	request #event gas station #distance quickest #traffic without any traffic		
assistant	Yes the Starbucks is only 2 miles away. Setting the GPS.	agree #poi Starbucks #distance 2 miles ; request GPS	agree #event Starbucks #distance 2 miles ; request GPS	{"distance": "within 5 miles"}	
driver	Perfect.	agree	agree		
driver	OK, please give me the address and directions via the fastest available route.	agree ; request #location #goal #distance fastest	agree ; request #location #goal #distance fastest		
assistant	You're welcome, sounds great.	youre_welcome	youre_welcome	{"poi": "coupa"}	
driver	Where can I get gas?	request #poi gas station	request #event gas station		
driver	Thank you	thank_you	thank_you		
assistant	Starbucks is located at 792 Bedoin Street. Anything else?	inform #poi Starbucks #location 792 Bedoin Street ; request needs	inform #event Starbucks #location 792 Bedoin Street ; request needs	{}	
driver	Where can I get groceries?	request #poi groceries	request #event groceries		
driver	I'm in need of coffee: is there any near my current location?	inform #poi coffee ; #request #location #distance near my current location	inform #event coffee ; #request #location #distance near my current location		
assistant	At this time there is a car collision nearby.	inform #traffic car collision 	inform #traffic car collision 	{}	
driver	Give me the address to Stanford Childrens Health.	request #location #poi Stanford Childrens Health	request #location #event Stanford Childrens Health		
assistant	I have two rest stops near you,one is 4 miles away with no traffic and one is 5 miles away with heavy traffic. Do you have a preference?	inform #poi hotels ; inform #distance 4 mile #traffic no traffic ; inform #distance 5 miles #traffic haevy traffic ; request choice	inform #event hotels ; inform #distance 4 mile #traffic no traffic ; inform #distance 5 miles #traffic haevy traffic ; request choice	{"distance": "nearby", "poi": "hotels"}	
assistant	You are welcome!	youre_welcome	youre_welcome	{}	
assistant	Mandarin Roots is closer.	inform #poi Mandarin Roots #distance closer	inform #event Mandarin Roots #distance closer	{"distance": "shortest "}	
assistant	Navigating to Safeway.	request #goal #poi Safeway	request #goal #event Safeway	{"poi": "safeway"}	
assistant	You are welcome.	youre_welcome	youre_welcome	{"poi": "76"}	
assistant	There is one hospital nearby called Stanford Express Care. Do you need the address?	inform #poi hospital #poi Stanford Express Care ; request #location	inform #event hospital #event Stanford Express Care ; request #location	{"distance": "nearby", "poi": "hospitals"}	
assistant	The closest restaurant is Panda Express, would you like directions?	inform #distance closest #poi Panda Express ; request #goal	inform #distance closest #event Panda Express ; request #goal	{"poi_type": "restaurant"}	
driver	Thank you.	thank_you	thank_you		
assistant	I sent the fastest route on your map, drive carefully! You're welcome	inform #goal #distance fastest ; show ; youre_welcome	inform #goal #distance fastest ; show ; youre_welcome	{"distance": "fastest route", "poi": "whole foods"}	
driver	Is there another grocery store nearby on a quick route? If not please give me directions to Willow Market.	yn_request #poi grocery store #distance quick ; request #poi Willow Market	yn_request #event grocery store #distance quick ; request #event Willow Market		
assistant	Do you mean you want to go at Tom's house? it's the only private address I have in a 3 miles range.	explicit_confirm #poi Tom's house ; inform #distance within 3 miles #poi home	explicit_confirm #event Tom's house ; inform #distance within 3 miles #event home	{"distance": "within 3 miles", "poi": "home"}	
assistant	I sent the info on your screen, drive carefully!	show	show	{"distance": "fastest route"}	
driver	Yes, please, send it on my screen and pick a route to avoid all heavy traffic	agree ; request #goal #traffic avoid all heavy ; show	agree ; request #goal #traffic avoid all heavy ; show		
assistant	Goodbye.	goodbye	goodbye	{}	
assistant	There are none within 2 miles.	inform none #distance 2 miles 	inform none #distance 2 miles 	{"distance": "2 mile", "poi_type": "parking garage"}	
driver	What types of pizza can I get around here	request #poi piazza	request #event piazza		
driver	Please direct me there. Thanks.	request #goal	request #goal		
assistant	Setting navigation to The Westin now.	request #goal #poi The Westin #date now	request #goal #event The Westin #date now	{"distance": "shortest distance", "poi_type": "rest stop", "poi": "The Westin"}	
driver	Yes, please, if it's the best location send me the quickest route on screen	agree ; request ##goal ; show	agree ; request ##goal ; show		
driver	Would you confirm the address of home, please?	yn_request #location #poi home	yn_request #location #event home		
driver	Which one is it the quickest route to reach it?	request #choice	request #choice		
assistant	Four Seasons is 7 miles away.	inform #poi Four Seasons #distance 7 miles away	inform #event Four Seasons #distance 7 miles away	{"poi_type": "rest stop"}	
driver	take me to my friend's house	request #goal #poi friend's house	request #goal #event friend's house		
driver	Thanks for the help.	thank_you	thank_you		
assistant	Westin has no traffic and The Clement Hotel has moderate traffic.	inform #poi Westin #traffic no traffic ; inform #poi Caement Hotel #traffic moderate traffic	inform #event Westin #traffic no traffic ; inform #event Caement Hotel #traffic moderate traffic	{}	
assistant	You are welcome	youre_welcome	youre_welcome	{}	
assistant	383 University Ave is the address for Town and Country	inform #location 383 University Ave #poi Town and Country	inform #location 383 University Ave #event Town and Country	{}	
driver	where can i get coffee	request #poi coffee	request #event coffee		
assistant	There are two nearby coffee or tea places.  Would you like the nearest one?	inform #distance nearby #poi coffee or tea ; request #distance	inform #distance nearby #event coffee or tea ; request #distance	{"poi_type": "coffee or tea place"}	
assistant	Jill's house is located at 347 Alta Mesa Avenue.	inform #location 347 Alta Mesa #poi Jill's house	inform #location 347 Alta Mesa #event Jill's house	{}	
driver	what are some nearby hotels	request #poi hotels #distance nearby	request #event hotels #distance nearby		
assistant	There are The Westin 4 miles away, and the Comfort Inn and Hotel Keen, both 5 miles away	inform #poi Westin #distance 4 miles ; inform #poi Comform Inn and Hotel Keen #distance 5 miles	inform #event Westin #distance 4 miles ; inform #event Comform Inn and Hotel Keen #distance 5 miles	{"distance": "nearby", "poi_type": "motels"}	
assistant	We are 5 miles away from Civic Center Garage: does it sound good to you?	inform #poi Civic Center Garage #distance 5 miles ; yn_request #satisifcation	inform #event Civic Center Garage #distance 5 miles ; yn_request #satisifcation	{"distance": "nearby", "poi_type": "parking"}	
driver	Great thank you	thank_you	thank_you		
assistant	The address for Teavana is 145 Amherst St.	inform #location 145 Amherst St #poi Teavana	inform #location 145 Amherst St #event Teavana	{"address": "Teavana"}	
driver	Give me the address to the pizza spot.	request #goal #location #poi pizza spot	request #goal #location #event pizza spot		
driver	Ok thanks for the information.	thank_you	thank_you		
assistant	I have no Starbucks listed as close to you.	inform #poi no Startbucks #distance near	inform #event no Startbucks #distance near	{"distance": "nearest", "poi": "starbucks"}	
assistant	Okay, heading to Shell	inform #goal #poi Shell	inform #goal #event Shell	{"poi": "Shell"}	
driver	The closest one.	inform #distance closest one	inform #distance closest one		
assistant	Travelers Lodge is 4 miles away.	inform #poi Travelers Lodge #distance 4 miles	inform #event Travelers Lodge #distance 4 miles	{"distance": "local ", "poi_type": "hotel "}	
assistant	Have a safe day.	goodbye	goodbye	{}	
assistant	The address is 53 University Av and I am setting GPS presently.	inform #location 53 University Av ; confirm #goal 	inform #location 53 University Av ; confirm #goal 	{"address": "53 University Av"}	
assistant	Navigating to Tom's house.	request #goal #poi Tom's house	request #goal #event Tom's house	{"poi_type": "friend's home"}	
driver	Thanks.	thank_you	thank_you		
driver	Okay, remind me of my address please	request #location #poi my home	request #location #event my home		
assistant	You're welcome and I'll try to get you there as soon as possible.	youre_welcome	youre_welcome	{}	
driver	No problem, thanks	thank_you	thank_you		
assistant	Setting GPS to fastest route to Palo Alto Cafe now.	request #goal #distance fastest #poi Palo Alto Cafe #time now	request #goal #distance fastest #event Palo Alto Cafe #time now	{"poi": "Palo Alto Cafe"}	
driver	Where is a gas station within 2 miles?	request #goal #poi 2 miles	request #goal #event 2 miles		
driver	Thanks buddy.	thank_you	thank_you		
assistant	271 Springer Street is the address for Mandarin Roots.	inform #poi Mandarin Roots #location 271 Springer Street	inform #event Mandarin Roots #location 271 Springer Street	{}	
driver	directions to the nearest grocery store	request #goal #poi grocery store #distance nearest	request #goal #event grocery store #distance nearest		
assistant	Would you like to go there?	request #need	request #need	{}	
driver	find directions to home	request #goal #poi home	request #goal #event home		
assistant	Its address is 271 Springer Street, we're 5 miles away and there is also a road block nearby	inform #location 271 Sprginer Street ; #inform #distance 5 miles ; inform #poi road block #distance nearby	inform #location 271 Sprginer Street ; #inform #distance 5 miles ; inform #event road block #distance nearby	{}	
assistant	Ravenswood Shopping Center is 7 miles away.	inform #poi Ravenswood Shopping Center	inform #event Ravenswood Shopping Center	{"poi_type": "shopping"}	
assistant	We're 4 miles away from Starbucks and 4 miles away from Palo Alto Cafe: where do you prefer to go?	inform #poi Starbucks #distance 4 miles ; inform #distance 4 miles #poi Palo Alto Cafe ; request #location	inform #event Starbucks #distance 4 miles ; inform #distance 4 miles #event Palo Alto Cafe ; request #location	{"distance": "nearest", "poi_type": "coffee shops"}	
assistant	We are 1 miles away from tai pan: does it sound good to you?	inform #distance 1 miles #poi tai pan ; yn_request #need	inform #distance 1 miles #event tai pan ; yn_request #need	{"distance": "nearest", "poi_type": "takeout chinese restaurant"}	
driver	Set the GPS and thank you for the information.	request #goal ; thank_you	request #goal ; thank_you		
assistant	I have two parking garages listed, both are 2 miles away.			{"poi_type": "parking garage"}	
assistant	There is no traffic in this moment, I've set the navigation there			{"traffic_info": "avoid all heavy traffic"}	
assistant	Coupa is at 394 Van Ness Ave.			{"poi": "Coupa"}	
driver	No need, it will work fine, please pick a route to avoid all heavy traffic and let's go there				
assistant	There is a Pizza Chicago 6 miles away.			{"poi_type": "pizza shop"}	
assistant	The address is 792 Bedoin Street, I sent it on your screen, and we're on a route with no traffic, enjoy your trip!			{"distance": "quickest route", "poi": "starbucks"}	
driver	Thank you very much car!				
assistant	You're welcome			{}	
assistant	I have a pizza shop located 4 miles away named Pizza My Heart. Need more info?			{"poi_type": "pizza restaurant"}	
assistant	The nearest one is Mandarin Roots, it's just 1 miles away and there is no traffic too			{"distance": "nearest", "poi_type": "chinese restaurant"}	
driver	Please pick a route with no traffic for me and send all the directions on my map!				
assistant	No that's the closest and fastest available.			{"traffic_info": "no traffic"}	
assistant	Jing Jingcan be found at 113 Arbol Dr 1 mile away. There is a car collision nearby			{}	
assistant	No that's the only parking garage in your area at this time.			{"traffic_info": "No traffic"}	
assistant	I will begin the directions now.			{}	
driver	Ok let's do this. Thanks for all the help.				
driver	Car I need a parking garage in the area around me: please send the fastest route on my screen				
assistant	Whole Foods has heavy traffic noted on the way. Would you like somewhere else?			{}	
assistant	As I said the address is 638 Amherst St: do you want me to navigate you there?			{}	
driver	Ok what's the address?				
driver	where can i find tea around me				
driver	where are the nearest coffee shops				
driver	Ok thanks				
driver	Where is the nearest hospital?				
assistant	I do not have an address for your friend's home.			{"poi": "friend's home"}	
driver	Is that the fastest route?				
driver	what route can i take home to avoid traffic				
assistant	Dominos is at 776 Arastradero Rd. It is 4 miles away with no traffic. Setting directions now.			{"distance": "nearest", "traffic_info": "no traffic", "poi_type": "pizza restaurant"}	
driver	Yes please thanks.				
driver	take me to a fast food restaurant				
driver	give me directions to my friends house				
driver	Yes and pick the fastes route please				
assistant	The address for Starbucks is 792 Bedoin Street			{"address": "Starbucks"}	
driver	what are the directions to the nearest chinese restaurant				
driver	Car I need to fill your gas, please show me a gas station near me in the direction we're actually driving				
assistant	Going to The Westin.			{"traffic_info": "no traffic", "poi": "the westin"}	
assistant	638 Amherst St, I sent its position on your screen			{}	
assistant	I see one nearby coffee shop which is Cafe Venetia located at 269 Alger Dr it is 4 miles away and there is no traffic.			{"poi_type": "coffee shop"}	
assistant	Setting navigation to Webster Garage.			{"poi": "Webster garage", "distance": "3 miles away", "traffic_info": "quickest route", "poi_type": "parking garage", "address": "880 Ames Ct"}	
driver	Thanks. I hope we miss most of it.				
assistant	383 University Ave, it's 5 miles away but there is heavy traffic on our way			{"poi": "town and country"}	
assistant	You're welcome, have a great day.			{}	
driver	Pick the fastest route for me car, thank you!				
assistant	There are Palo Alto Cafe and Starbucks 1 miles away: which one do you prefer?			{"distance": "closest", "poi_type": "coffee shop"}	
driver	Actually, can I get the address for my home?				
driver	Find a grocery market for me please.				
driver	Pick the quickest one and show me the quick route to reach, please				
driver	OK, what is the address and how close is it?				
driver	Where can I go shopping?				
driver	Some other coffee.				
assistant	There is just The Westin, it's 4 miles away			{"distance": "around here", "poi_type": "hotels"}	
driver	Please pick the quickest route to get there				
driver	Yes get me the address.				
assistant	The only rest stop is 6 miles away.			{"traffic_info": "within 2 miles", "poi_type": "rest stop"}	
assistant	You can find the route on your GPS. You're welcome!			{"poi": "shell"}	
driver	Set my navigation to Jacks for the shortest route possible.				
assistant	Papa Johns and Round Table are both near.			{"poi_type": "pizza"}	
assistant	There is Cafe Venetia 1 miles away and a couple of other farther options			{"distance": "nearby", "poi_type": "cafe"}	
assistant	There is Philz 1 miles away or Palo Alto Cafe 3 miles from here: which one do you prefer?			{"poi_type": "coffee house"}	
assistant	There is Town and Country 5 miles away, it should be perfect for you!			{"distance": "nearby", "poi_type": "Malls"}	
driver	find me somewhere to park				
driver	Yes I need the fastest route please.				
driver	Cool, thanks.				
assistant	You should go back home at 10 ames street, you sound confused, I'm worried for you!			{"poi_type": "home", "poi": "home"}	
driver	show me directions to the nearest starbucks				
driver	Got it, thanks!				
driver	That's great! Please send me the route on screen and avoid all heavy traffic				
driver	Where is the nearby hospital?				
assistant	You're welcome, navigating you to 792 Bedoin Street!			{"traffic_info": "avoid all heavy traffic", "poi": "starbucks"}	
driver	Thank you car, you rock!				
driver	Sure, thanks!				
driver	send me to the nearest gas station				
driver	Great, thanks				
assistant	Here is the quickest route to Pizza my Heart.			{"traffic_info": "quickest"}	
driver	I need to find a hospital quickly, without any heavy traffic				
assistant	Setting navigation to 113 Arbol Dr. There is currently no traffic on the route.			{"distance": "nearest", "traffic_info": "fastest route", "poi_type": "chinese restaurant", "poi": "Jing Jing"}	
driver	Yes please.				
driver	Set navigation for quickest route.				
driver	Thanks.				
assistant	Home is located at 10 Ames Street. Setting navigation now.			{"distance": "how far away (4 miles)", "traffic_info": "quickest route", "poi_type": "home", "poi": "home"}	
driver	Thank you , car.				
assistant	Anytime!			{}	
driver	Okay, give me the details for Panda Express then				
assistant	I sent all the info on your screen, you're welcome!			{"distance": "shortest distance"}	
assistant	I have a pizza restaurant located 1 mile away.			{"distance": "2 miles", "poi_type": "pizza restaurant\t"}	
driver	car please show the possible routes to get home				
assistant	We're heading at Trader Joes, 408 University Ave, it's 5 miles away			{"poi_type": "grocery store"}	
driver	The place with the least traffic please.				
assistant	You're welcome. Drive carefully	and enjoy.	and enjoy.		{}
driver	take me to the nearest hotel				
assistant	We are 5 miles away from Cafe Venetia but there is heavy traffic on our way			{"distance": "nearest", "poi_type": "place to get coffee"}	
driver	can you tell me where the nearest rest stop is				
driver	OK. Pick one at random and let's go!				
driver	take me to the nearest starbucks				
driver	Where can I get pizza?				
driver	Is there a parking garage around here?				
driver	Get me the address of a chinese restaurant around this area.				
assistant	The nearest one is the Four Seasons, it's 3 miles away. But if you prefer there is also the Travelers Lodge that's 6 miles away			{"distance": "nearest", "poi_type": "rest stop"}	
assistant	There is a gas station 1 mile from your location, would you like me to pull it up?			{"poi_type": "gas station"}	
assistant	There is only heavy traffic noted but it's only 1 mile away so we should arrive quickly.			{"traffic_info": "heavy"}	
driver	Car I want to do some shopping in some local shopping center: is there any nearby?				
driver	Yes, please pick a quick route to go there and send it on my screen!				
assistant	Setting GPS to 113 Anton Ct to go to Round Table.			{"poi": "round table"}	
assistant	There is a road block nearby but I already sent on your screen a route to go around it			{}	
driver	Where can I get some tea.				
driver	Locate my friend's current address for me.				
driver	Yes sounds good.				
driver	Please give me the address and directions to the restaurant via a route that avoids heavy traffic.				
assistant	Done. There is only moderate traffic on the route home.			{"traffic_info": "No heavy traffic", "poi": "home"}	
driver	Yes.				
assistant	Alright, heading to Trader Joes			{}	
assistant	Valero has no traffic in the route.			{}	
assistant	Stanford Shopping Center is the closest mall at 2 miles away located at 773 Alger Drive.			{"distance": "closest", "poi": "mall"}	
driver	Where is the nearest pizza place?				
assistant	Stereo is playing "Nothing Else Matters" now. You're welcome!			{}	
assistant	your welcome.			{}	
driver	Set the GPS, thank you.				
driver	Thank you car, set the GPS to go there on the fastest route, please				
assistant	Safeway has less traffic.			{"traffic_info": " less traffic"}	
assistant	The nearest grocery store is whole foods at 819 Alma St, 1 mile away. Would you like directions there?			{"distance": "nearest", "poi_type": "grocery store"}	
assistant	Navigation set and we should be there shortly. You're welcome.			{"distance": "Fastest"}	
assistant	I sent the best possible route on your screen, drive carefully!			{"traffic_info": "avoid all heavy traffic"}	
assistant	Home is 5 miles away, this route does not have any traffic			{"traffic_info": "quickest route"}	
assistant	I sent on your screen the best route available, drive carefully!			{"distance": "quick route"}	
assistant	Stanford Oval Parking and Webster Garage are both close.			{"distance": "nearby", "poi_type": "parking garage"}	
assistant	There is currently no traffic on the way to home, 1 mile away.			{"poi": "home", "traffic_info": "traffic status", "poi_type": "home", "address": "10 Ames Street"}	
driver	Patience, please set the GPS to go there, thank you!				
assistant	Stanford Oval Parking is 2 miles away.			{"poi_type": "parking garage"}	
driver	Is there a hospital within 5 miles?				
assistant	The nearer Chinese restaurant is P.F. Changs, it's 1 miles away: would you like to go there?			{"distance": "quickest", "poi_type": "chinese spot"}	
driver	Thank you.				
assistant	Setting the quickest route now.			{"distance": "quick"}	
assistant	Starbucks is at 792 Bedoin Street.			{}	
driver	Where can I get Chinese food?				
assistant	No problem.			{}	
driver	OK, please direct me there via the fastest route.				
assistant	Noooooooo problem!			{}	
driver	Is the Starbucks within 5 miles of here? If so, please direct me to the Starbucks via the quickest route.				
driver	can you please take me to a coffee house				
